#TCPLOG
#VERSION: 2
#DATE: 2018-02-28 21:02:00
#TIMESTAMP: 1519848120.3401945
#RESOLUTION: 0.1s
#FORMAT: absoluteTimestamp relativeTimestamp srcIp srcPort dstIp dstPort cwnd sst rtt minRtt maxRtt avgRtt meanRtt throughput smoothedThroughput assumedLosses
#END_HEADER

1519848144.0596526 23.308501623 10.5.5.2 8080 10.5.5.1 34358 10 2147483647 25.888 _ _ _ _ _ _ _
1519848144.06141 23.452936367 10.5.5.2 8080 10.5.5.1 34360 10 2147483647 25.917 _ _ _ _ _ _ _
1519848144.161644 23.673725332 10.5.5.2 8080 10.5.5.1 34360 2013 2147483647 30.169 25.917 30.169 28.043 25.95952 463.78052665472916 0 0
1519848144.262144 23.699280161 10.5.5.2 8080 10.5.5.1 34360 2158 2102 30.975 25.917 30.975 29.020333333333337 26.009674800000003 157.10423103938055 0 1
1519848144.362257 23.719364914 10.5.5.2 8080 10.5.5.1 34360 2219 2102 40.362 25.917 40.362 31.85575 26.153198052000004 147.87654514128943 0 1
1519848144.4623556 23.749137197 10.5.5.2 8080 10.5.5.1 34360 2283 2102 44.267 25.917 44.267 34.338 26.334336071480003 152.642439406027 0 1
1519848144.5623634 23.773664732 10.5.5.2 8080 10.5.5.1 34360 2347 2102 41.816 25.917 44.267 35.58433333333333 26.489152710765204 156.37184608320638 0 1
1519848144.6626046 23.795662081 10.5.5.2 8080 10.5.5.1 34360 2409 2102 42.137 25.917 44.267 36.520428571428575 26.64563118365755 150.80747614291624 0 1
1519848144.7628696 23.816962377 10.5.5.2 8080 10.5.5.1 34360 2469 2102 41.533 25.917 44.267 37.147 26.794504871820976 145.57259464063043 0 1
1519848144.8630621 23.836750954 10.5.5.2 8080 10.5.5.1 34360 2526 2102 41.773 25.917 44.267 37.661 26.944289823102764 140.47511958994664 0 1
1519848144.963102 23.858977881 10.5.5.2 8080 10.5.5.1 34360 2590 2102 42.428 25.917 44.267 38.1377 27.099126924871737 151.11081769808243 0 1
1519848145.0631838 23.880162361 10.5.5.2 8080 10.5.5.1 34360 2652 2102 43.612 25.917 44.267 38.63536363636364 27.264255655623018 151.0478208090563 0 1
1519848145.16346 23.902256118 10.5.5.2 8080 10.5.5.1 34360 2716 2102 44.084 25.917 44.267 39.08941666666667 27.432453099066787 155.95320770062935 0 1
1519848145.2637327 23.923014326 10.5.5.2 8080 10.5.5.1 34360 2776 2102 45.106 25.917 45.106 39.552230769230775 27.60918856807612 145.561518532672 0 1
1519848145.3638673 23.941645005 10.5.5.2 8080 10.5.5.1 34360 2832 2124 45.938 25.917 45.938 40.00835714285715 27.79247668239536 135.35060302413123 0 1
1519848145.4639606 23.961483642 10.5.5.2 8080 10.5.5.1 34360 2890 2167 46.328 25.917 46.328 40.42966666666667 27.977831915571407 145.82225346780302 0 1
1519848145.5641484 23.983359568 10.5.5.2 8080 10.5.5.1 34360 2954 2215 47.417 25.917 47.417 40.866375000000005 28.172223596415694 150.88786507117732 0 1
1519848145.6644366 24.054071523 10.5.5.2 8080 10.5.5.1 34360 2240 2134 48.546 25.917 48.546 41.318117647058834 28.375961360451537 411.8985432481914 0 2
1519848145.7647154 24.115017245 10.5.5.2 8080 10.5.5.1 34360 2137 2134 37.355 25.917 48.546 41.09794444444445 28.465751746847022 388.6021259893105 0 2
