#TCPLOG
#VERSION: 2
#DATE: 2018-03-01 04:05:13
#TIMESTAMP: 1519873513.9433331
#RESOLUTION: 0.1s
#FORMAT: absoluteTimestamp relativeTimestamp srcIp srcPort dstIp dstPort cwnd sst rtt minRtt maxRtt avgRtt meanRtt throughput smoothedThroughput assumedLosses
#END_HEADER

1519873532.9969304 18.690697246 10.5.5.2 8080 10.5.5.1 34434 10 2147483647 25.859 _ _ _ _ _ _ _
1519873532.9985957 18.836630153 10.5.5.2 8080 10.5.5.1 34436 10 2147483647 25.902 _ _ _ _ _ _ _
1519873533.0986958 19.029259415 10.5.5.2 8080 10.5.5.1 34436 1069 2147483647 29.421 25.902 29.421 27.6615 25.93719 245.6825381182041 0 0
1519873533.1989546 19.061875397 10.5.5.2 8080 10.5.5.1 34436 2081 2075 31.529 25.902 31.529 28.950666666666667 25.9931081 244.3691062614502 0 1
1519873533.2992322 19.091781219 10.5.5.2 8080 10.5.5.1 34436 2140 2075 36.982 25.902 36.982 30.9585 26.102997019 145.5542507527669 0 1
1519873533.399498 19.167017068 10.5.5.2 8080 10.5.5.1 34436 2356 2075 37.391 25.902 37.391 32.245 26.215877048809997 525.0973990919402 0 1
1519873533.4997451 19.24622987 10.5.5.2 8080 10.5.5.1 34436 2581 2075 42.908 25.902 42.908 34.022166666666664 26.382798278321896 545.994603280638 0 1
1519873533.599997 19.320427163 10.5.5.2 8080 10.5.5.1 34436 2801 2100 44.445 25.902 44.445 35.51114285714285 26.563420295538677 530.3695298314573 0 1
1519873533.7001846 19.393137718 10.5.5.2 8080 10.5.5.1 34436 3020 2265 47.239 25.902 47.239 36.977124999999994 26.77017609258329 535.9133478163901 0 1
1519873533.8004646 19.461813381 10.5.5.2 8080 10.5.5.1 34436 2395 2188 48.537 25.902 48.537 38.261555555555546 26.98784433165746 411.5852899532055 0 2
1519873533.900644 19.514797849 10.5.5.2 8080 10.5.5.1 34436 2188 2188 39.496 25.902 48.537 38.38499999999999 27.112925888340886 321.68958008943724 0 2
1519873534.0006626 19.580004199 10.5.5.2 8080 10.5.5.1 34436 2201 2188 36.76 25.902 48.537 38.23727272727272 27.209396629457476 453.4297096919248 0 2
1519873534.1009896 19.648228556 10.5.5.2 8080 10.5.5.1 34436 2215 2188 36.764 25.902 48.537 38.11449999999999 27.3049426631629 472.81861257769685 0 2
1519873534.2010875 19.717250097 10.5.5.2 8080 10.5.5.1 34436 2229 2188 37.366 25.902 48.537 38.05692307692307 27.405553236531272 473.9008763077451 0 2
1519873534.3012335 19.788952144 10.5.5.2 8080 10.5.5.1 34436 2243 2188 37.293 25.902 48.537 38.002357142857136 27.50442770416596 489.28856849722524 0 2
1519873534.4012647 19.863862554 10.5.5.2 8080 10.5.5.1 34436 2259 2188 37.45 25.902 48.537 37.96553333333333 27.603883427124302 521.1177371395339 577.0729422309182 2
1519873534.5014555 19.942058026 10.5.5.2 8080 10.5.5.1 34436 2274 2188 37.712 25.902 48.537 37.949687499999996 27.70496459285306 541.0983627302127 577.0729422309182 2
1519873534.6015947 20.011535306 10.5.5.2 8080 10.5.5.1 34436 2288 2188 37.817 25.902 48.537 37.94188235294117 27.80608494692453 484.116794650083 577.0729422309182 2
1519873534.7018843 20.082490789 10.5.5.2 8080 10.5.5.1 34436 2302 2188 38.125 25.902 48.537 37.95205555555555 27.909274097455285 488.58833024826157 577.0729422309182 2
1519873534.8020232 20.1499535 10.5.5.2 8080 10.5.5.1 34436 2315 2188 38.051 25.902 48.537 37.95726315789474 28.010691356480734 468.5012392968789 577.0729422309182 2
1519873534.9022996 20.218207319 10.5.5.2 8080 10.5.5.1 34436 2328 2188 38.719 25.902 48.537 37.99535 28.117774442915927 473.0569386098575 577.0729422309182 2
1519873535.0025334 20.291394015 10.5.5.2 8080 10.5.5.1 34436 2341 2188 38.894 25.902 48.537 38.03814285714286 28.22553669848677 504.4622013806489 577.0729422309182 2
1519873535.102744 20.360842002 10.5.5.2 8080 10.5.5.1 34436 2354 2188 38.672 25.902 48.537 38.06695454545455 28.330001331501904 483.7712552714399 577.0729422309182 2
1519873535.2027836 20.430032853 10.5.5.2 8080 10.5.5.1 34436 2367 2188 38.985 25.902 48.537 38.106869565217394 28.436551318186883 479.3883273411567 577.0729422309182 2
1519873535.3030164 20.497741629 10.5.5.2 8080 10.5.5.1 34436 2379 2188 38.982 25.902 48.537 38.14333333333334 28.542005805005015 473.2628567315007 577.0729422309182 2
1519873535.4031007 20.56896439 10.5.5.2 8080 10.5.5.1 34436 2392 2188 39.21 25.902 48.537 38.18600000000001 28.648685746954964 500.0072698233377 577.0729422309182 2
