#TCPLOG
#VERSION: 2
#DATE: 2018-03-01 03:29:59
#TIMESTAMP: 1519871399.35931
#RESOLUTION: 0.1s
#FORMAT: absoluteTimestamp relativeTimestamp srcIp srcPort dstIp dstPort cwnd sst rtt minRtt maxRtt avgRtt meanRtt throughput smoothedThroughput assumedLosses
#END_HEADER

1519871418.4329908 18.914600613 10.5.5.2 8080 10.5.5.1 34426 10 2147483647 0.101 _ _ _ _ _ _ _
1519871418.4350035 18.955740755 10.5.5.2 8080 10.5.5.1 34428 10 2147483647 0.199 _ _ _ _ _ _ _
1519871418.5352073 19.021615899 10.5.5.2 8080 10.5.5.1 34428 145 108 3.212 0.199 3.212 1.7055 0.22913000000000003 162.42425648804976 0 1
1519871418.6354017 19.053087702 10.5.5.2 8080 10.5.5.1 34428 200 150 5.279 0.199 5.279 2.8966666666666665 0.27962870000000006 135.26976227523878 0 1
1519871418.7354307 19.103267828 10.5.5.2 8080 10.5.5.1 34428 253 189 12.727 0.199 12.727 5.35425 0.40410241300000005 139.54674302799177 0 1
1519871418.8356194 19.159099763 10.5.5.2 8080 10.5.5.1 34428 309 231 15.124 0.199 15.124 7.308200000000001 0.55130138887 134.00564826264213 0 1
1519871418.9357393 19.223199447 10.5.5.2 8080 10.5.5.1 34428 361 270 21.511 0.199 21.511 9.675333333333334 0.7608983749813001 128.89131060217701 0 1
1519871419.0358758 19.267622154 10.5.5.2 8080 10.5.5.1 34428 256 256 7.555 0.199 21.511 9.372428571428571 0.8288393912314871 58.07240044254922 0 2
1519871419.1361837 19.322505554 10.5.5.2 8080 10.5.5.1 34428 259 256 16.418 0.199 21.511 10.253125 0.9847309973191722 112.01984448143905 0 2
1519871419.2364857 19.402565303 10.5.5.2 8080 10.5.5.1 34428 262 256 19.008 0.199 21.511 11.225888888888889 1.1649636873459805 129.9276432396713 0 2
1519871419.336736 19.482678341 10.5.5.2 8080 10.5.5.1 34428 185 185 19.092 0.199 21.511 12.0125 1.3442340504725208 102.3780449412481 0 3
1519871419.4370613 19.553413197 10.5.5.2 8080 10.5.5.1 34428 187 185 15.73 0.199 21.511 12.350454545454545 1.4880917099677955 114.88701968492971 0 3
1519871419.5370946 19.605557185 10.5.5.2 8080 10.5.5.1 34428 190 185 5.375 0.199 21.511 11.769166666666665 1.5269607928681175 126.1077872505279 0 3
1519871419.6371827 19.647575227 10.5.5.2 8080 10.5.5.1 34428 192 185 9.021 0.199 21.511 11.557769230769228 1.6019011849394365 131.70985792274416 0 3
1519871419.7373593 19.753258964 10.5.5.2 8080 10.5.5.1 34428 137 137 15.715 0.199 21.511 11.854714285714284 1.7430321730900422 122.45833189492849 0 4
1519871419.8374298 19.836915362 10.5.5.2 8080 10.5.5.1 34428 140 137 11.117 0.199 21.511 11.805533333333331 1.8367718513591418 123.39847303568517 0 4
1519871419.9374814 20.007574148 10.5.5.2 8080 10.5.5.1 34428 146 137 20.985 0.199 21.511 12.379249999999999 2.02825413284555 196.13167473134322 182.5650043799286 4
1519871420.0375855 20.27390897 10.5.5.2 8080 10.5.5.1 34428 154 137 19.371 0.199 21.511 12.790529411764705 2.2016815915170946 254.3515564312699 182.5650043799286 4
1519871420.1376724 20.566506619 10.5.5.2 8080 10.5.5.1 34428 114 111 15.583 0.199 21.511 12.945666666666666 2.3354947756019238 269.5570410351338 182.5650043799286 5
1519871420.2379894 20.77213344 10.5.5.2 8080 10.5.5.1 34428 123 111 8.181 0.199 21.511 12.694894736842105 2.3939498278459044 261.0865919975663 182.5650043799286 5
1519871420.3382382 20.842588769 10.5.5.2 8080 10.5.5.1 34428 128 111 8.946 0.199 21.511 12.50745 2.4594703295674454 126.64552866397446 182.5650043799286 5
1519871420.4633658 20.966015709 10.5.5.2 8080 10.5.5.1 34428 133 111 13.073 0.199 21.511 12.534380952380952 2.565605626271771 115.16644852604402 182.5650043799286 5
1519871420.58407 21.098692701 10.5.5.2 8080 10.5.5.1 34428 138 111 16.064 0.199 21.511 12.694818181818182 2.700589570009053 114.20450128950955 109.54236977400187 5
1519871420.6986885 21.204883015 10.5.5.2 8080 10.5.5.1 34428 144 111 9.955 0.199 21.511 12.575695652173913 2.7731336743089625 148.0612126808183 109.54236977400187 5
1519871420.8069012 21.319102514 10.5.5.2 8080 10.5.5.1 34428 148 111 9.78 0.199 21.511 12.459208333333331 2.843202337565873 144.5153723885546 109.54236977400187 5
1519871420.917215 21.428258058 10.5.5.2 8080 10.5.5.1 34428 153 114 10.777 0.199 21.511 12.391919999999997 2.922540314190214 146.48816802334176 109.54236977400187 5
1519871421.031748 21.542691762 10.5.5.2 8080 10.5.5.1 34428 158 118 13.6 0.199 21.511 12.438384615384614 3.0293149110483117 130.06758596481995 109.54236977400187 5
1519871421.1450052 21.66061431 10.5.5.2 8080 10.5.5.1 34428 162 121 14.18 0.199 21.511 12.502888888888888 3.1408217619378287 135.41938260899514 109.54236977400187 5
1519871421.2523744 21.771549934 10.5.5.2 8080 10.5.5.1 34428 167 124 13.986 0.199 21.511 12.55585714285714 3.2492735443184504 145.6507290587757 109.54236977400187 5
1519871421.3555608 21.871245303 10.5.5.2 8080 10.5.5.1 34428 171 127 11.417 0.199 21.511 12.51658620689655 3.330950808875266 171.76222190663015 109.54236977400187 5
1519871421.4602883 21.979200723 10.5.5.2 8080 10.5.5.1 34428 176 132 12.821 0.199 21.511 12.526733333333333 3.4258513007865132 159.27964424596877 109.54236977400187 5
1519871421.5622153 22.080376452 10.5.5.2 8080 10.5.5.1 34428 179 133 12.616 0.199 21.511 12.529612903225805 3.5177527877786483 153.42738974861584 109.54236977400187 5
1519871421.6624377 22.180576727 10.5.5.2 8080 10.5.5.1 34428 184 138 11.622 0.199 21.511 12.501249999999999 3.598795259900862 175.4549972753263 149.98712255688704 5
1519871421.7626574 22.279265153 10.5.5.2 8080 10.5.5.1 34428 188 141 12.56 0.199 21.511 12.503030303030302 3.6884073073018535 161.35809340803897 149.98712255688704 5
1519871421.8657787 22.38797131 10.5.5.2 8080 10.5.5.1 34428 193 144 13.028 0.199 21.511 12.518470588235294 3.781803234228835 175.01598004514915 149.98712255688704 5
1519871421.9682584 22.488392682 10.5.5.2 8080 10.5.5.1 34428 197 147 12.923 0.199 21.511 12.530028571428572 3.8732152018865467 183.1199806629117 149.98712255688704 5
1519871422.0683413 22.592839723 10.5.5.2 8080 10.5.5.1 34428 201 150 13.005 0.199 21.511 12.543222222222221 3.964533049867681 183.3386194060289 149.98712255688704 5
1519871422.1685524 22.699583318 10.5.5.2 8080 10.5.5.1 34428 205 153 12.929 0.199 21.511 12.553648648648647 4.054177719369004 188.42136055653364 149.98712255688704 5
1519871422.2688231 22.806209154 10.5.5.2 8080 10.5.5.1 34428 210 157 13.167 0.199 21.511 12.569789473684208 4.145305942175313 192.12175392772596 149.98712255688704 5
1519871422.3689153 22.898402182 10.5.5.2 8080 10.5.5.1 34428 213 159 12.489 0.199 21.511 12.567717948717947 4.22874288275356 170.1279885710202 149.98712255688704 5
1519871422.469017 23.006594083 10.5.5.2 8080 10.5.5.1 34428 218 163 13.286 0.199 21.511 12.585674999999998 4.319315453926024 195.68640859477395 149.98712255688704 5
1519871422.5692122 23.11507615 10.5.5.2 8080 10.5.5.1 34428 221 165 12.951 0.199 21.511 12.594585365853657 4.405632299386764 208.10584097713496 149.98712255688704 5
1519871422.67757 23.210005937 10.5.5.2 8080 10.5.5.1 34428 226 169 13.357 0.199 21.511 12.612738095238093 4.495145976392896 163.5646220787439 179.3927413425543 5
1519871422.7777927 23.312445008 10.5.5.2 8080 10.5.5.1 34428 230 172 11.199 0.199 21.511 12.579860465116276 4.5621845166289665 239.25624530054904 179.3927413425543 5
