#TCPLOG
#VERSION: 2
#DATE: 2018-03-01 05:13:10
#TIMESTAMP: 1519877590.3876095
#RESOLUTION: 0.1s
#FORMAT: absoluteTimestamp relativeTimestamp srcIp srcPort dstIp dstPort cwnd sst rtt minRtt maxRtt avgRtt meanRtt throughput smoothedThroughput assumedLosses
#END_HEADER

1519877610.7921784 20.239079207 10.5.3.2 8080 10.5.3.1 46762 10 2147483647 0.128 _ _ _ _ _ _ _
1519877610.7941566 20.283062442 10.5.3.2 8080 10.5.3.1 46764 10 2147483647 0.085 _ _ _ _ _ _ _
1519877610.8942175 20.337641623 10.5.3.2 8080 10.5.3.1 46764 79 58 0.79 0.085 0.79 0.4375 0.09205 152.23682719900117 0 1
1519877610.9944546 20.352213457 10.5.3.2 8080 10.5.3.1 46764 138 103 1.403 0.085 1.403 0.7593333333333333 0.1051595 145.61310601263006 0 1
1519877611.0947456 20.367099449 10.5.3.2 8080 10.5.3.1 46764 199 148 2.148 0.085 2.148 1.1065 0.125587905 145.5348735539913 0 1
1519877611.194835 20.38173713 10.5.3.2 8080 10.5.3.1 46764 258 193 2.859 0.085 2.859 1.457 0.15292202594999998 145.82815853875013 0 1
1519877611.2949433 20.396247396 10.5.3.2 8080 10.5.3.1 46764 317 237 3.469 0.085 3.469 1.7923333333333333 0.18608280569049998 140.59321791976373 0 1
1519877611.3952534 20.410906268 10.5.3.2 8080 10.5.3.1 46764 377 282 4.208 0.085 4.208 2.1374285714285715 0.226301977633595 146.08461031642545 0 1
1519877611.4956112 20.425711039 10.5.3.2 8080 10.5.3.1 46764 437 327 4.87 0.085 4.87 2.479 0.27273895785725905 144.86092971931265 0 1
1519877611.595617 20.440616625 10.5.3.2 8080 10.5.3.1 46764 498 373 5.643 0.085 5.643 2.8305555555555557 0.3264415682786864 145.9498399002515 0 1
1519877611.6958218 20.455453032 10.5.3.2 8080 10.5.3.1 46764 558 418 6.249 0.085 6.249 3.1724 0.38566715259589956 145.66022450114087 0 1
1519877611.7959564 20.471223251 10.5.3.2 8080 10.5.3.1 46764 622 466 7.061 0.085 7.061 3.5259090909090904 0.4524204810699406 156.17377272015142 0 1
1519877611.8960595 20.487002533 10.5.3.2 8080 10.5.3.1 46764 686 514 7.765 0.085 7.765 3.8791666666666664 0.5255462762592411 157.26435773436572 0 1
1519877611.9962244 20.502927654 10.5.3.2 8080 10.5.3.1 46764 751 562 8.513 0.085 8.513 4.235615384615384 0.6054208134966488 157.74565273683356 0 1
1519877612.0962684 20.518704871 10.5.3.2 8080 10.5.3.1 46764 815 610 9.298 0.085 9.298 4.597214285714285 0.6923466053616822 158.28361610455298 0 1
1519877612.196521 20.534701626 10.5.3.2 8080 10.5.3.1 46764 880 660 10.038 0.085 10.038 4.959933333333333 0.7858031393080654 157.9542428398107 0 1
